User_ID,Name,Age,Country,Subscription_Type,Watch_Time_Hours,Favorite_Genre,Last_Login,Recency,Frequency,Monthly_Spend,Monetary,R_Score,F_Score,M_Score,RFM_Score,RFM_Total,Segment
1,James Martinez,18,France,Premium,80.26,Drama,2024-05-12,293,41,22.99,275.88,1,1,4,114,6,Lost
2,John Miller,23,USA,Premium,321.75,Sci-Fi,2025-02-05,24,161,22.99,275.88,5,2,4,524,11,New Customers
3,Emma Davis,60,UK,Basic,35.89,Comedy,2025-01-24,36,18,9.99,119.88,5,1,1,511,7,New Customers
4,Emma Miller,44,USA,Premium,261.56,Documentary,2024-03-25,341,131,22.99,275.88,1,2,4,124,7,Lost
5,Jane Smith,68,USA,Standard,909.3,Drama,2025-01-14,46,455,15.49,185.88,5,5,2,552,12,Loyal Customers
6,David Johnson,21,USA,Standard,615.93,Romance,2025-02-03,26,308,15.49,185.88,5,4,2,542,11,Loyal Customers
7,John Hernandez,57,Canada,Standard,755.47,Romance,2025-01-05,55,378,15.49,185.88,5,4,2,542,11,Loyal Customers
8,Katie Hernandez,68,USA,Standard,145.23,Sci-Fi,2024-10-30,122,73,15.49,185.88,4,1,2,412,7,New Customers
9,James Williams,39,UK,Basic,950.14,Action,2024-04-16,319,476,9.99,119.88,1,5,1,151,7,Lost
10,Alex Davis,55,Mexico,Standard,696.66,Horror,2024-07-03,241,349,15.49,185.88,2,4,2,242,8,Lost
11,Jane Miller,26,Japan,Standard,290.31,Action,2024-09-11,171,146,15.49,185.88,3,2,2,322,7,Needs Attention
12,Jane Martinez,62,USA,Standard,490.39,Action,2024-06-12,262,246,15.49,185.88,2,3,2,232,7,Lost
13,Alex Martinez,65,Australia,Premium,712.23,Comedy,2024-08-08,205,357,22.99,275.88,3,4,4,344,11,Potential Loyalists
14,Alex Smith,35,Germany,Premium,73.63,Sci-Fi,2024-10-02,150,37,22.99,275.88,3,1,4,314,8,Lost
15,Michael Jones,68,USA,Premium,359.3,Sci-Fi,2024-07-25,219,180,22.99,275.88,2,2,4,224,8,Hibernating
16,Chris Miller,39,Australia,Premium,768.19,Comedy,2024-10-11,141,385,22.99,275.88,3,4,4,344,11,Potential Loyalists
17,Chris Davis,74,UK,Standard,610.7,Drama,2024-07-03,241,306,15.49,185.88,2,4,2,242,8,Lost
